,Id,quality
0,0,5
1,1,5
2,2,5
3,3,6
4,4,5
5,5,5
6,6,5
7,7,7
8,8,7
9,9,5
10,10,5
11,11,5
12,12,5
13,13,5
14,14,5
15,15,5
16,16,7
17,17,5
18,18,4
19,19,6
20,20,6
21,21,5
22,22,5
23,23,5
24,24,6
25,25,5
26,26,5
27,27,5
28,28,5
29,29,6
30,30,5
31,31,6
32,32,5
33,33,6
34,34,5
35,35,6
36,36,6
37,37,7
38,38,4
39,39,5
40,40,5
41,41,4
42,42,6
43,43,5
44,44,5
45,45,4
46,46,5
47,47,5
48,48,5
49,49,5
50,50,5
51,51,6
52,52,6
53,53,5
54,54,6
55,55,5
56,56,5
57,57,5
58,58,5
59,59,6
60,60,5
61,61,5
62,62,7
63,63,5
64,64,5
65,65,5
66,66,5
67,67,5
68,68,5
69,69,6
70,70,6
71,71,5
72,72,5
73,73,4
74,74,5
75,75,5
76,76,5
77,77,6
78,78,5
79,79,4
80,80,5
81,81,5
82,82,5
83,83,5
84,84,6
85,85,5
86,86,6
87,87,5
88,88,5
89,89,5
90,90,5
91,91,6
92,92,5
93,93,5
94,94,4
95,95,6
96,96,5
97,97,5
98,98,5
99,99,6
100,100,6
101,101,6
102,102,6
103,103,5
104,104,5
105,105,5
106,106,5
107,107,5
108,108,6
109,109,5
110,110,5
111,111,5
112,112,5
113,113,6
114,114,5
115,115,6
116,116,6
117,117,6
118,118,6
119,119,6
120,120,5
121,121,6
122,122,5
123,123,5
124,124,5
125,125,5
126,126,5
127,127,5
128,128,7
129,129,5
130,130,5
131,131,5
132,132,5
133,133,6
134,134,6
135,135,5
136,136,5
137,137,5
138,138,5
139,139,5
140,140,5
141,141,5
142,142,6
143,143,5
144,144,6
145,145,5
146,146,5
147,147,5
148,148,6
149,149,6
150,150,6
151,151,4
152,152,5
153,153,5
154,154,5
155,155,5
156,156,5
157,157,5
158,158,5
159,159,6
160,160,5
161,161,4
162,162,6
163,163,5
164,164,5
165,165,5
166,166,5
167,167,4
168,168,6
169,169,5
170,170,4
171,171,6
172,172,6
173,173,6
174,174,5
175,175,5
176,176,5
177,177,6
178,178,5
179,179,5
180,180,5
181,181,5
182,182,5
183,183,5
184,184,6
185,185,5
186,186,5
187,187,5
188,188,5
189,189,5
190,190,5
191,191,6
192,192,5
193,193,5
194,194,5
195,195,5
196,196,5
197,197,6
198,198,7
199,199,4
200,200,7
201,201,5
202,202,5
203,203,5
204,204,6
205,205,7
206,206,7
207,207,5
208,208,5
209,209,7
210,210,6
211,211,6
212,212,6
213,213,5
214,214,6
215,215,5
216,216,5
217,217,5
218,218,5
219,219,5
220,220,6
221,221,5
222,222,5
223,223,6
224,224,4
225,225,6
226,226,6
227,227,5
228,228,6
229,229,5
230,230,7
231,231,6
232,232,6
233,233,5
234,234,6
235,235,6
236,236,6
237,237,6
238,238,6
239,239,6
240,240,5
241,241,6
242,242,6
243,243,7
244,244,7
245,245,6
246,246,5
247,247,5
248,248,6
249,249,6
250,250,6
251,251,6
252,252,5
253,253,5
254,254,6
255,255,5
256,256,5
257,257,5
258,258,5
259,259,7
260,260,5
261,261,4
262,262,5
263,263,5
264,264,5
265,265,7
266,266,4
267,267,8
268,268,6
269,269,6
270,270,6
271,271,6
272,272,5
273,273,5
274,274,5
275,275,6
276,276,6
277,277,6
278,278,8
279,279,7
280,280,6
281,281,7
282,282,5
283,283,7
284,284,5
285,285,5
286,286,6
287,287,6
288,288,7
289,289,5
290,290,7
291,291,5
292,292,6
293,293,6
294,294,6
295,295,5
296,296,5
297,297,5
298,298,5
299,299,5
300,300,6
301,301,6
302,302,5
303,303,5
304,304,5
305,305,6
306,306,5
307,307,6
308,308,6
309,309,6
310,310,6
311,311,6
312,312,6
313,313,5
314,314,5
315,315,6
316,316,5
317,317,6
318,318,7
319,319,6
320,320,7
321,321,5
322,322,5
323,323,6
324,324,6
325,325,6
326,326,7
327,327,5
328,328,6
329,329,5
330,330,6
331,331,6
332,332,6
333,333,5
334,334,7
335,335,7
336,336,6
337,337,5
338,338,6
339,339,7
340,340,6
341,341,6
342,342,6
343,343,6
344,344,6
345,345,5
346,346,7
347,347,6
348,348,6
349,349,6
350,350,6
351,351,6
352,352,5
353,353,5
354,354,6
355,355,6
356,356,5
357,357,7
358,358,7
359,359,6
360,360,5
361,361,6
362,362,5
363,363,5
364,364,7
365,365,6
366,366,7
367,367,5
368,368,5
369,369,7
370,370,5
371,371,6
372,372,6
373,373,5
374,374,6
375,375,7
376,376,6
377,377,7
378,378,6
379,379,6
380,380,6
381,381,6
382,382,6
383,383,6
384,384,5
385,385,6
386,386,6
387,387,6
388,388,6
389,389,7
390,390,8
391,391,6
392,392,5
393,393,5
394,394,5
395,395,7
396,396,5
397,397,6
398,398,6
399,399,5
400,400,5
401,401,6
402,402,6
403,403,6
404,404,5
405,405,6
406,406,6
407,407,7
408,408,6
409,409,4
410,410,6
411,411,5
412,412,5
413,413,7
414,414,5
415,415,5
416,416,6
417,417,5
418,418,6
419,419,5
420,420,7
421,421,7
422,422,5
423,423,7
424,424,5
425,425,7
426,426,6
427,427,6
428,428,5
429,429,6
430,430,7
431,431,5
432,432,6
433,433,5
434,434,6
435,435,5
436,436,6
437,437,6
438,438,6
439,439,5
440,440,8
441,441,6
442,442,7
443,443,7
444,444,7
445,445,6
446,446,5
447,447,5
448,448,6
449,449,6
450,450,6
451,451,6
452,452,6
453,453,7
454,454,5
455,455,8
456,456,5
457,457,5
458,458,7
459,459,3
460,460,6
461,461,5
462,462,5
463,463,5
464,464,6
465,465,5
466,466,6
467,467,6
468,468,6
469,469,5
470,470,5
471,471,6
472,472,6
473,473,5
474,474,6
475,475,5
476,476,5
477,477,6
478,478,5
479,479,6
480,480,5
481,481,8
482,482,5
483,483,5
484,484,6
485,485,5
486,486,5
487,487,6
488,488,7
489,489,6
490,490,6
491,491,7
492,492,7
493,493,6
494,494,6
495,495,8
496,496,6
497,497,5
498,498,8
499,499,6
500,500,6
501,501,7
502,502,7
503,503,7
504,504,7
505,505,7
506,506,7
507,507,6
508,508,6
509,509,7
510,510,5
511,511,6
512,512,6
513,513,7
514,514,7
515,515,5
516,516,6
517,517,3
518,518,6
519,519,5
520,520,6
521,521,5
522,522,5
523,523,5
524,524,5
525,525,5
526,526,5
527,527,6
528,528,6
529,529,5
530,530,6
531,531,5
532,532,5
533,533,6
534,534,6
535,535,6
536,536,5
537,537,6
538,538,7
539,539,5
540,540,5
541,541,6
542,542,5
543,543,6
544,544,6
545,545,5
546,546,6
547,547,6
548,548,6
549,549,6
550,550,6
551,551,6
552,552,6
553,553,5
554,554,5
555,555,5
556,556,6
557,557,5
558,558,6
559,559,6
560,560,5
561,561,5
562,562,5
563,563,6
564,564,6
565,565,5
566,566,6
567,567,6
568,568,6
569,569,6
570,570,6
571,571,6
572,572,5
573,573,4
574,574,6
575,575,6
576,576,4
577,577,5
578,578,5
579,579,6
580,580,5
581,581,5
582,582,5
583,583,7
584,584,7
585,585,6
586,586,7
587,587,5
588,588,8
589,589,7
590,590,5
591,591,6
592,592,5
593,593,5
594,594,5
595,595,5
596,596,6
597,597,6
598,598,6
599,599,6
600,600,4
601,601,6
602,602,5
603,603,6
604,604,6
605,605,6
606,606,7
607,607,6
608,608,6
609,609,6
610,610,5
611,611,5
612,612,6
613,613,5
614,614,6
615,615,5
616,616,5
617,617,6
618,618,5
619,619,5
620,620,5
621,621,5
622,622,5
623,623,6
624,624,5
625,625,5
626,626,5
627,627,5
628,628,6
629,629,5
630,630,6
631,631,5
632,632,6
633,633,4
634,634,5
635,635,5
636,636,5
637,637,5
638,638,7
639,639,6
640,640,5
641,641,5
642,642,5
643,643,5
644,644,5
645,645,7
646,646,5
647,647,4
648,648,7
649,649,6
650,650,5
651,651,5
652,652,5
653,653,6
654,654,5
655,655,5
656,656,5
657,657,7
658,658,6
659,659,4
660,660,6
661,661,5
662,662,6
663,663,6
664,664,5
665,665,5
666,666,6
667,667,6
668,668,5
669,669,6
670,670,5
671,671,5
672,672,5
673,673,5
674,674,6
675,675,5
676,676,6
677,677,5
678,678,5
679,679,5
680,680,5
681,681,6
682,682,5
683,683,5
684,684,5
685,685,5
686,686,5
687,687,5
688,688,5
689,689,5
690,690,3
691,691,5
692,692,5
693,693,5
694,694,5
695,695,6
696,696,6
697,697,6
698,698,5
699,699,6
700,700,6
